"Jul 30, 2024 @ 13:56:14.567",eat,"2024-07-30 13:56:14 E0CD608841E3 5 0 [[70,361,14],[79,361,14],[78,358,12],[70,363,19],[67,355,6],[88,355,11],[80,356,31],[65,352,27],[73,358,24],[71,345,15],[91,360,23],[67,353,16],[75,355,22],[79,360,16],[79,355,19],[64,347,20],[84,360,19],[60,353,31],[86,350,8],[99,351,36],[43,335,31],[84,339,31],[51,356,33],[86,345,17],[96,355,35],[64,359,32],[71,359,12],[79,344,22],[108,352,33],[72,335,39],[70,324,39],[68,326,40],[67,328,35],[92,328,41],[88,327,38],[72,335,35],[57,342,24],[96,344,19],[78,355,30],[83,358,25],[71,352,25],[68,345,31],[76,345,16],[83,353,27],[71,351,23],[71,355,17],[84,347,25],[71,350,28],[79,352,23],[88,352,14],[86,350,31],[72,355,24],[88,344,43],[84,359,44],[86,352,32],[63,343,44],[79,348,36],[88,351,38],[75,352,25],[70,358,19],[73,356,35],[89,366,25],[64,363,22],[76,360,20],[75,364,30],[72,361,24],[71,364,28],[79,355,20],[67,361,24],[70,356,14],[71,355,25],[88,353,15],[64,352,19],[79,351,15],[79,348,19],[73,342,27],[72,339,31],[78,335,23],[84,337,22],[75,340,19],[70,340,16],[79,347,19],[76,363,12],[73,359,14],[86,368,11],[70,369,22],[70,364,17],[71,369,15],[71,366,17],[71,369,11],[71,367,11],[71,368,19],[67,358,16],[67,367,14],[76,358,14],[86,360,16],[76,352,22],[76,346,22],[72,335,28],[79,329,30],[72,347,22],[47,332,23],[124,356,19],[71,355,19],[68,360,19],[68,355,15],[86,356,19],[80,359,24],[57,348,27],[91,350,27],[67,369,24],[60,331,24],[63,344,28],[64,340,28],[79,344,28],[80,339,28],[81,332,31],[79,355,24],[46,335,31],[127,360,19],[75,353,19],[63,363,12],[71,355,15],[76,351,1],[94,355,9],[71,355,14],[62,348,19],[76,359,24],[83,367,24],[71,355,27],[70,356,19],[68,355,19],[81,352,12],[87,358,28],[63,355,25],[79,351,28],[76,344,28],[69,363,24],[63,335,34],[120,364,28],[71,371,28],[70,339,31],[65,363,57],[62,348,31],[104,355,47],[59,351,40],[71,359,35],[68,350,39],[103,363,24],[63,356,26],[86,361,24],[72,354,28],[63,347,23],[83,355,8],[71,342,20],[100,359,14],[60,344,19],[71,355,28],[72,344,20],[96,353,22],[82,340,30],[68,335,27],[83,329,31],[52,361,24],[54,337,19]]"
"Jul 30, 2024 @ 13:55:54.432",eat,"2024-07-30 13:55:54 E0CD608841E3 5 0 [[84,335,255],[-173,319,3],[70,316,249],[-186,355,224],[-177,323,231],[-168,320,231],[-176,310,238],[-168,296,246],[-168,287,246],[-180,271,252],[-183,271,248],[-184,271,249],[-173,283,1],[79,304,255],[-178,313,8],[81,330,8],[76,353,252],[-184,371,249],[-180,376,254],[-178,388,248],[-189,375,241],[-200,382,235],[-208,376,236],[-196,376,243],[-180,383,241],[-193,351,3],[76,344,3],[88,324,4],[88,303,15],[80,302,15],[68,319,6],[78,304,6],[83,331,248],[-178,336,243],[-176,340,240],[-168,343,244],[-180,339,248],[-177,331,247],[-189,310,236],[-177,312,235],[-176,300,227],[-169,294,233],[-177,280,240],[-189,278,235],[-193,287,227],[-189,295,216],[-173,300,220],[-173,308,231],[-173,313,232],[-181,315,230],[-180,316,228],[-185,321,222],[-185,329,216],[-175,327,223],[-181,328,224],[-180,321,227],[-185,323,217],[-189,328,214],[-191,329,204],[-183,324,208],[-184,327,217],[-185,327,216],[-185,323,224],[-180,327,227],[-184,335,227],[-183,327,225],[-180,319,235],[-173,342,231],[-185,327,230],[-180,323,236],[-173,342,240],[-186,312,251],[-173,334,243],[-181,320,248],[-180,323,241],[-172,327,0],[84,332,248],[-178,318,252],[-181,332,3],[76,328,255],[-170,335,0],[79,331,255],[-180,339,1],[79,339,3],[78,332,255],[-176,339,252],[-177,342,254],[-168,327,1],[71,332,252],[-181,332,249],[-177,332,247],[-177,323,252],[-184,334,248],[-181,327,249],[-177,327,247],[-176,323,244],[-173,327,252],[-177,332,255],[-177,332,252],[-176,326,248],[-183,332,247],[-177,331,248],[-180,331,247],[-177,333,243],[-175,336,247],[-180,339,248],[-177,339,248],[-181,343,251],[-185,327,251],[-180,326,248],[-169,307,248],[-170,295,248],[-176,270,255],[-178,257,4],[71,256,3],[72,505,-1],[-180,257,251],[-193,508,-7],[-180,271,232],[-177,275,246],[-173,287,252],[-172,296,252],[-173,304,6],[86,304,16],[87,312,28],[80,307,32],[76,316,28],[84,312,24],[83,316,24],[81,321,20],[72,335,16],[79,343,9],[71,360,3],[86,366,3],[79,366,1],[75,368,252],[-186,359,252],[-185,355,255],[-184,359,252],[-194,355,248],[-186,359,251],[-175,366,244],[-181,367,244],[-192,360,243],[-183,360,241],[-189,367,242],[-186,366,240],[-186,375,243],[-185,368,248],[-184,348,255],[-176,348,254],[-193,348,249],[-207,353,249],[-169,364,240],[-177,374,237],[-181,360,241],[-191,355,243],[-177,363,237],[-197,355,239],[-189,351,231],[-170,350,236],[-189,358,236],[-189,355,243],[-189,354,231],[-185,359,247]]"
"Jul 30, 2024 @ 13:55:35.726",eat,"2024-07-30 13:55:34 E0CD608841E3 5 0 [[70,355,6],[70,359,9],[76,358,8],[80,358,12],[79,348,12],[79,355,7],[63,350,7],[63,348,9],[86,358,7],[76,361,3],[71,359,1],[73,353,6],[78,359,12],[73,355,8],[75,355,7],[81,353,8],[71,348,14],[75,354,7],[79,348,7],[76,342,6],[76,347,7],[75,348,3],[87,337,0],[99,337,15],[73,332,16],[80,320,17],[71,339,19],[56,312,8],[105,328,19],[73,316,15],[95,335,15],[65,319,19],[87,337,24],[72,328,7],[76,328,24],[75,332,12],[83,335,11],[76,342,12],[78,327,7],[81,342,12],[73,332,255],[-169,342,7],[70,337,16],[73,337,3],[88,343,11],[76,348,12],[79,352,23],[76,348,23],[83,350,25],[71,342,28],[76,355,33],[73,355,44],[79,352,39],[65,356,41],[75,361,32],[79,359,47],[81,359,39],[64,355,43],[67,355,35],[83,358,44],[86,351,35],[64,350,36],[72,352,33],[83,355,31],[81,347,30],[72,344,22],[78,344,16],[76,343,16],[83,345,12],[78,350,12],[76,344,8],[83,344,15],[78,339,8],[71,344,9],[68,348,7],[-169,360,1],[72,350,7],[76,355,7],[67,358,8],[73,351,3],[83,358,3],[72,355,3],[68,352,8],[67,352,3],[83,352,7],[78,352,3],[71,344,9],[80,342,7],[80,352,255],[-208,335,8],[100,347,4],[80,355,4],[67,356,3],[78,340,255],[-162,344,8],[70,339,16],[72,336,15],[72,358,15],[51,326,252],[-140,352,14],[76,350,7],[71,360,12],[65,342,3],[99,339,0],[83,335,19],[84,332,15],[107,321,15],[48,343,43],[60,312,15],[126,335,24],[71,339,22],[56,339,24],[83,348,12],[76,348,15],[76,351,12],[79,351,11],[78,350,16],[76,358,15],[79,350,12],[76,348,11],[75,352,12],[68,348,15],[81,348,16],[79,352,12],[76,355,20],[76,344,8],[83,356,20],[83,351,15],[70,353,15],[74,344,6],[87,350,19],[83,342,9],[70,342,15],[78,343,9],[79,347,11],[83,345,9],[68,368,14],[71,350,246],[-188,351,15],[86,360,3],[75,361,7],[75,332,14],[76,387,238],[-193,360,243],[-177,355,239],[-189,359,240],[-193,329,236],[-193,374,231],[-175,369,226],[-193,376,227],[-201,374,224],[-196,360,214],[-177,368,219],[-187,360,228],[-199,366,213],[-204,369,224],[-190,368,212],[-188,375,222],[-195,367,224],[-201,374,207],[-203,362,216],[-185,371,206],[-186,375,211],[-194,368,219],[-209,369,211]]"
"Jul 30, 2024 @ 13:55:15.006",eat,"2024-07-30 13:55:14 E0CD608841E3 5 0 [[56,342,254],[-176,348,255],[-194,348,3],[99,336,252],[-154,352,7],[47,339,15],[83,348,9],[63,352,255],[-167,339,12],[108,358,11],[56,348,16],[71,348,12],[83,344,16],[64,358,24],[73,334,8],[103,360,14],[76,350,22],[67,367,15],[78,339,60],[54,347,7],[100,351,32],[64,351,22],[67,344,31],[80,343,20],[102,344,19],[73,339,20],[70,347,22],[70,348,28],[92,352,28],[92,350,24],[70,352,17],[68,348,28],[83,343,32],[87,350,33],[76,343,30],[73,344,35],[73,350,28],[80,348,44],[78,350,32],[65,353,31],[81,345,39],[79,339,32],[76,344,31],[76,335,31],[80,334,22],[78,334,23],[76,332,15],[83,339,12],[76,335,11],[79,340,9],[80,337,7],[81,334,6],[86,331,6],[76,327,12],[73,323,9],[79,335,4],[73,352,7],[68,366,3],[83,366,3],[73,374,3],[64,369,3],[67,368,3],[67,371,249],[-193,371,248],[-185,374,248],[-185,379,246],[-193,376,241],[-191,376,244],[-196,374,243],[-192,376,241],[-196,375,243],[-193,372,240],[-189,371,241],[-189,371,240],[-191,371,240],[-188,367,243],[-184,364,246],[-186,366,243],[-185,368,243],[-189,367,247],[-181,361,248],[-189,359,251],[-186,355,249],[-192,364,252],[-185,360,248],[-175,364,248],[-191,366,249],[-192,363,252],[-180,359,241],[-178,355,1],[76,345,0],[76,344,4],[70,350,251],[-205,350,246],[-164,358,235],[-180,359,243],[-193,359,240],[-186,356,247],[-180,356,244],[-180,348,248],[-181,345,251],[-180,337,252],[-184,332,255],[-177,340,1],[78,337,3],[80,337,6],[76,337,12],[79,332,11],[83,339,9],[79,342,9],[68,339,14],[83,335,15],[79,335,15],[76,332,15],[79,332,16],[80,335,11],[76,328,17],[78,335,9],[78,350,9],[67,350,12],[80,361,6],[83,360,8],[71,359,19],[70,358,20],[67,359,15],[78,355,15],[71,361,15],[67,351,14],[79,363,12],[76,360,15],[68,364,17],[71,367,15],[71,366,16],[70,366,20],[67,363,16],[68,369,7],[71,368,15],[71,363,24],[71,360,19],[70,362,3],[92,358,17],[76,356,27],[57,354,19],[83,364,28],[63,355,12],[84,368,26],[79,364,28],[63,366,28],[76,359,15],[76,356,28],[60,345,27],[89,351,19],[57,363,37],[81,345,15],[88,355,26],[60,343,24],[94,341,23],[73,359,17],[25,324,14],[137,360,24],[63,359,12],[72,351,16],[79,354,12],[79,339,23],[72,341,19]]"
"Jul 30, 2024 @ 13:54:53.487",eat,"2024-07-30 13:54:52 E0CD608841E3 5 0 [[78,348,7],[79,346,7],[67,348,3],[65,348,4],[78,351,3],[76,368,252],[-189,369,248],[-181,362,254],[-180,367,4],[72,361,7],[78,359,15],[71,355,15],[56,355,11],[78,359,6],[88,366,14],[67,367,11],[70,364,12],[70,362,12],[76,367,12],[71,368,15],[67,364,12],[71,366,11],[71,369,15],[71,363,7],[79,366,17],[68,358,16],[70,360,14],[80,358,6],[78,355,15],[63,348,12],[79,353,7],[76,348,7],[87,350,15],[76,351,12],[71,351,15],[63,351,7],[81,348,1],[87,358,11],[79,355,7],[79,359,7],[72,355,14],[78,355,16],[70,364,16],[75,344,19],[91,355,15],[88,355,24],[63,342,23],[72,335,28],[70,344,30],[51,347,24],[100,361,24],[83,364,19],[67,361,12],[68,369,15],[71,355,19],[88,371,24],[64,361,19],[65,364,15],[75,360,15],[76,363,15],[71,356,15],[70,361,12],[72,351,15],[92,353,19],[68,352,19],[70,347,22],[68,359,12],[70,344,22],[108,367,22],[63,352,20],[76,358,19],[71,363,19],[70,355,12],[89,355,12],[103,355,20],[51,363,28],[60,353,12],[86,366,24],[96,376,24],[55,364,15],[70,363,14],[65,367,1],[65,361,249],[-169,364,243],[-181,364,252],[-193,361,0],[65,361,255],[-180,355,252],[-175,352,4],[80,343,12],[72,337,11],[67,335,11],[71,344,9],[78,348,9],[80,359,11],[62,363,14],[86,366,12],[72,368,12],[71,364,12],[75,358,11],[72,359,6],[67,358,11],[68,359,9],[81,363,9],[71,359,7],[71,361,7],[79,359,6],[78,356,7],[65,352,7],[79,363,15],[63,355,12],[84,355,6],[56,359,15],[79,374,15],[67,353,15],[88,360,10],[64,352,15],[72,353,14],[70,356,9],[60,355,12],[87,355,15],[80,360,15],[56,360,11],[67,364,9],[80,356,6],[92,359,19],[63,352,15],[76,348,19],[67,355,15],[64,347,17],[94,359,252],[-180,359,11],[62,369,15],[71,358,7],[83,352,3],[94,352,24],[59,344,14],[71,343,23],[57,355,8],[71,339,7],[105,364,16],[56,355,9],[75,363,17],[73,347,4],[107,355,14],[67,355,20],[56,353,14],[72,356,7],[88,358,15],[62,352,12],[72,358,4],[79,343,5],[112,351,14],[76,337,17],[64,343,19],[40,335,19],[86,345,15],[103,361,16],[63,349,11],[72,355,14],[79,352,9],[86,355,12],[71,351,7],[71,344,4],[76,362,15]]"
